timestamp_utc,station_id,status,diesel
2026-08-05T21:00:54Z,005056ba-7cb6-1ed2-bceb-8b9067120d33,closed,
2026-08-05T21:00:54Z,51d4b52a-a095-1aa0-e100-80009459e03a,closed,
2026-08-05T21:00:54Z,9cc82fee-ffbf-4cf3-948a-9c5e494588a8,open,2.139
2026-08-05T21:30:43Z,005056a9-779e-1eee-bfc4-26f2ed85158d,open,2.119
2026-08-05T21:30:43Z,3d5d33e1-982e-4bd9-831c-7710f4b2bd72,open,2.119
2026-08-05T21:30:43Z,9cc82fee-ffbf-4cf3-948a-9c5e494588a8,open,2.129
2026-08-06T03:00:57Z,4c8cac28-e631-42aa-8206-db8f9acf8919,open,2.148
2026-08-06T03:00:57Z,51d4b52a-a095-1aa0-e100-80009459e03a,open,2.129
2026-08-06T03:00:57Z,005056ba-7cb6-1ed2-bceb-8b9067120d33,open,2.149
2026-08-06T03:30:50Z,f3f3b1ad-72ef-424a-8237-96c84ef806af,open,2.129
2026-08-06T04:00:57Z,4910a275-9695-403e-bb77-bf059a03713b,open,2.149
2026-08-06T04:00:57Z,e1a15081-2513-9107-e040-0b0a3dfe563c,open,2.149
2026-08-06T04:00:57Z,0644af18-e91e-4f5c-b23b-ecee706482ce,open,2.129
2026-08-06T04:00:57Z,51d4b52a-a095-1aa0-e100-80009459e03a,open,2.119
2026-08-06T04:00:57Z,515bab29-79a3-4a95-937b-3a13c7907955,open,2.149
2026-08-06T04:00:57Z,51d4b662-a095-1aa0-e100-80009459e03a,open,2.149
2026-08-06T05:00:54Z,ff84eb62-9c83-4c6a-b3e3-d7dad141e8d5,open,2.129
2026-08-06T05:00:54Z,3bc75820-2e63-4a74-92cf-ef078b21accf,open,2.129
2026-08-06T05:00:54Z,4910a275-9695-403e-bb77-bf059a03713b,open,2.119
2026-08-06T05:00:54Z,515bab29-79a3-4a95-937b-3a13c7907955,open,2.129
2026-08-06T05:00:54Z,695e738d-6386-4189-b454-af4a2947e89d,open,2.159
2026-08-06T05:00:54Z,03344243-1c82-4fe4-9191-9d9bc9cc4d14,open,2.159
2026-08-06T05:30:48Z,e1a15081-2513-9107-e040-0b0a3dfe563c,open,2.119
2026-08-06T05:30:48Z,51d4b662-a095-1aa0-e100-80009459e03a,open,2.119
2026-08-06T05:30:48Z,695e738d-6386-4189-b454-af4a2947e89d,open,2.129
2026-08-06T05:30:48Z,005056ba-7cb6-1ed2-bceb-8b9067120d33,open,2.119
2026-08-06T05:30:48Z,03344243-1c82-4fe4-9191-9d9bc9cc4d14,open,2.129
2026-08-06T06:00:58Z,4c8cac28-e631-42aa-8206-db8f9acf8919,open,2.118
2026-08-06T07:01:02Z,0644af18-e91e-4f5c-b23b-ecee706482ce,open,2.119
2026-08-06T07:01:02Z,23cb9e76-f277-4ab3-b64b-d5d8a71eee0a,open,2.159
2026-08-06T07:01:02Z,77d0b269-a3f2-4a90-aebb-264d45748583,open,2.149
2026-08-06T07:01:02Z,6cc0da1b-3d06-4abf-a2e9-3a4f67469658,open,2.139
2026-08-06T07:01:02Z,4910a275-9695-403e-bb77-bf059a03713b,open,2.109
2026-08-06T07:01:02Z,0014c75b-2b35-4fad-b162-8b3fb9125cd2,open,2.149
2026-08-06T07:01:02Z,515bab29-79a3-4a95-937b-3a13c7907955,open,2.119
2026-08-06T07:01:02Z,3d5d33e1-982e-4bd9-831c-7710f4b2bd72,open,2.109
2026-08-06T07:01:02Z,f3f3b1ad-72ef-424a-8237-96c84ef806af,open,2.119
2026-08-06T07:01:02Z,9cc82fee-ffbf-4cf3-948a-9c5e494588a8,open,2.119
2026-08-06T07:01:02Z,51d4b52a-a095-1aa0-e100-80009459e03a,open,2.109
2026-08-06T07:01:02Z,005056a9-779e-1eee-bfc4-26f2ed85158d,open,2.109
2026-08-06T07:30:48Z,ff84eb62-9c83-4c6a-b3e3-d7dad141e8d5,open,2.119
2026-08-06T07:30:48Z,3bc75820-2e63-4a74-92cf-ef078b21accf,open,2.119
2026-08-06T07:30:48Z,23cb9e76-f277-4ab3-b64b-d5d8a71eee0a,open,2.129
2026-08-06T07:30:48Z,77d0b269-a3f2-4a90-aebb-264d45748583,open,2.119
2026-08-06T07:30:48Z,6cc0da1b-3d06-4abf-a2e9-3a4f67469658,open,2.119
2026-08-06T07:30:48Z,0014c75b-2b35-4fad-b162-8b3fb9125cd2,open,2.119
2026-08-06T08:00:57Z,4c8cac28-e631-42aa-8206-db8f9acf8919,open,2.108
2026-08-06T08:00:57Z,e1a15081-2513-9107-e040-0b0a3dfe563c,open,2.109
2026-08-06T08:00:57Z,51d4b662-a095-1aa0-e100-80009459e03a,open,2.109
2026-08-06T08:00:57Z,695e738d-6386-4189-b454-af4a2947e89d,open,2.119
2026-08-06T08:00:57Z,005056ba-7cb6-1ed2-bceb-8b9067120d33,open,2.109
2026-08-06T08:00:57Z,03344243-1c82-4fe4-9191-9d9bc9cc4d14,open,2.119
2026-08-06T08:30:50Z,23cb9e76-f277-4ab3-b64b-d5d8a71eee0a,open,2.119
2026-08-06T10:16:28Z,ff84eb62-9c83-4c6a-b3e3-d7dad141e8d5,open,2.359
2026-08-06T10:16:28Z,0644af18-e91e-4f5c-b23b-ecee706482ce,open,2.379
2026-08-06T10:16:28Z,4c8cac28-e631-42aa-8206-db8f9acf8919,open,2.458
2026-08-06T10:16:28Z,3bc75820-2e63-4a74-92cf-ef078b21accf,open,2.379
2026-08-06T10:16:28Z,23cb9e76-f277-4ab3-b64b-d5d8a71eee0a,open,2.389
2026-08-06T10:16:28Z,77d0b269-a3f2-4a90-aebb-264d45748583,open,2.389
2026-08-06T10:16:28Z,6cc0da1b-3d06-4abf-a2e9-3a4f67469658,open,2.379
2026-08-06T10:16:28Z,4910a275-9695-403e-bb77-bf059a03713b,open,2.359
2026-08-06T10:16:28Z,e1a15081-2513-9107-e040-0b0a3dfe563c,open,2.349
2026-08-06T10:16:28Z,0014c75b-2b35-4fad-b162-8b3fb9125cd2,open,2.389
2026-08-06T10:16:28Z,515bab29-79a3-4a95-937b-3a13c7907955,open,2.379
2026-08-06T10:16:28Z,51d4b662-a095-1aa0-e100-80009459e03a,open,2.349
2026-08-06T10:16:28Z,3d5d33e1-982e-4bd9-831c-7710f4b2bd72,open,2.379
2026-08-06T10:16:28Z,f3f3b1ad-72ef-424a-8237-96c84ef806af,open,2.359
2026-08-06T10:16:28Z,695e738d-6386-4189-b454-af4a2947e89d,open,2.379
2026-08-06T10:16:28Z,9cc82fee-ffbf-4cf3-948a-9c5e494588a8,open,2.409
2026-08-06T10:16:28Z,005056ba-7cb6-1ed2-bceb-8b9067120d33,open,2.369
2026-08-06T10:16:28Z,51d4b52a-a095-1aa0-e100-80009459e03a,open,2.349
2026-08-06T10:16:28Z,03344243-1c82-4fe4-9191-9d9bc9cc4d14,open,2.379
2026-08-06T10:16:28Z,005056a9-779e-1eee-bfc4-26f2ed85158d,open,2.369
